,cluster_id,time,seqlength,coh_cluster
211,0,7.51402,49,1
212,0,7.51402,33,1
213,0,7.51402,59,1
214,0,7.51402,46,1
215,0,7.51402,41,1
216,0,7.51402,48,1
217,0,7.51402,45,1
218,0,7.51402,53,1
219,0,7.51402,48,1
220,0,7.51402,65,1
221,0,7.51402,47,1
222,0,7.51402,63,1
223,0,7.51402,48,1
224,0,7.51402,51,1
225,0,7.51402,60,1
226,0,7.51402,56,1
227,0,7.51402,53,1
228,0,7.51402,46,1
229,0,7.51402,35,1
230,0,7.51402,46,1
231,0,7.51402,50,1
232,0,7.51402,50,1
233,0,7.51402,50,1
234,0,7.51402,60,1
235,0,7.51402,54,1
236,0,7.51402,50,1
237,0,7.51402,39,1
238,0,7.51402,55,1
239,0,7.51402,52,1
240,0,7.51402,62,1
241,0,7.51402,65,1
242,0,7.51402,60,1
243,0,7.51402,54,1
244,0,7.51402,51,1
245,0,7.51402,57,1
246,0,7.51402,51,1
247,0,7.51402,55,1
248,0,7.51402,57,1
249,0,7.51402,60,1
250,0,7.51402,52,1
251,0,7.51402,43,1
252,0,7.51402,51,1
253,0,7.51402,50,1
254,0,7.51402,56,1
255,0,7.51402,62,1
256,0,7.51402,56,1
257,0,7.51402,44,1
258,0,7.51402,52,1
259,0,7.51402,47,1
260,0,7.51402,51,1
261,0,7.51402,71,1
262,0,7.51402,52,1
263,0,7.51402,50,1
264,0,7.51402,46,1
265,0,7.51402,58,1
266,0,7.51402,59,1
267,0,7.51402,65,1
268,0,7.51402,54,1
269,0,7.51402,52,1
270,0,7.51402,55,1
271,0,7.51402,50,1
272,0,7.51402,54,1
273,0,7.51402,57,1
274,0,7.51402,62,1
275,0,7.51402,48,1
276,0,7.51402,48,1
277,0,7.51402,51,1
278,0,7.51402,53,1
279,0,7.51402,49,1
280,0,7.51402,54,1
281,0,7.51402,55,1
282,0,7.51402,56,1
283,0,7.51402,63,1
284,0,7.51402,54,1
285,0,7.51402,42,1
286,0,7.51402,48,1
287,0,7.51402,48,1
288,0,7.51402,42,1
289,0,7.51402,57,1
290,0,7.51402,54,1
291,0,7.51402,66,1
292,0,7.51402,60,1
293,0,7.51402,71,1
294,0,7.51402,50,1
295,0,7.51402,49,1
296,0,7.51402,60,1
297,0,7.51402,44,1
298,0,7.51402,41,1
299,0,7.51402,45,1
300,0,7.51402,57,1
301,0,7.51402,66,1
302,0,7.51402,61,1
303,0,7.51402,50,1
304,0,7.51402,60,1
305,0,7.51402,55,1
306,0,7.51402,55,1
307,0,7.51402,48,1
308,0,7.51402,61,1
309,0,7.51402,53,1
310,0,7.51402,58,1
311,0,7.51402,49,1
312,0,7.51402,47,1
313,0,7.51402,60,1
314,0,7.51402,51,1
315,0,7.51402,43,1
316,0,7.51402,46,1
317,0,7.51402,62,1
318,0,7.51402,48,1
319,0,7.51402,51,1
320,0,7.51402,51,1
321,0,7.51402,55,1
322,0,7.51402,61,1
323,0,7.51402,58,1
324,0,7.51402,48,1
325,0,7.51402,43,1
326,0,7.51402,47,1
327,0,7.51402,54,1
328,0,7.51402,57,1
329,0,7.51402,50,1
330,0,7.51402,38,1
331,0,7.51402,57,1
332,0,7.51402,46,1
333,0,7.51402,65,1
334,0,7.51402,56,1
335,0,7.51402,54,1
336,0,7.51402,52,1
337,0,7.51402,60,1
338,0,7.51402,61,1
339,0,7.51402,47,1
340,0,7.51402,48,1
341,0,7.51402,63,1
342,0,7.51402,55,1
343,0,7.51402,46,1
344,0,7.51402,49,1
345,0,7.51402,68,1
346,0,7.51402,63,1
347,0,7.51402,63,1
348,0,7.51402,63,1
349,0,7.51402,49,1
350,0,7.51402,58,1
351,0,7.51402,55,1
352,0,7.51402,63,1
353,0,7.51402,52,1
354,0,7.51402,61,1
355,0,7.51402,67,1
356,0,7.51402,49,1
357,0,7.51402,58,1
358,0,7.51402,39,1
359,0,7.51402,51,1
360,0,7.51402,65,1
361,0,7.51402,60,1
362,0,7.51402,60,1
363,0,7.51402,57,1
364,0,7.51402,58,1
365,0,7.51402,58,1
366,0,7.51402,53,1
367,0,7.51402,64,1
