,cluster_id,cluster_tslearn
178,0,0
179,0,2
180,0,0
181,0,0
182,0,2
183,0,1
184,0,1
185,0,1
186,0,4
187,0,4
188,0,2
189,0,1
190,0,2
191,0,1
192,0,2
193,0,2
194,0,1
195,0,2
196,0,1
197,0,2
198,0,1
199,0,4
200,0,2
201,0,1
202,0,4
203,0,4
204,0,2
205,0,1
206,0,1
207,0,0
208,0,1
209,0,1
210,0,1
211,0,2
212,0,4
213,0,1
214,0,1
215,0,2
216,0,1
217,0,2
218,0,1
219,0,2
220,0,4
221,0,1
222,0,1
223,0,1
224,0,1
225,0,1
226,0,4
227,0,2
228,0,1
229,0,2
230,0,4
231,0,2
232,0,2
233,0,1
234,0,1
235,0,1
236,0,2
237,0,1
238,0,1
239,0,1
240,0,4
241,0,4
242,0,1
243,0,1
244,0,1
245,0,1
246,0,2
247,0,0
248,0,1
249,0,1
250,0,1
251,0,1
252,0,1
253,0,1
254,0,2
255,0,2
256,0,1
257,0,1
258,0,1
259,0,1
260,0,0
261,0,3
262,0,0
263,0,3
264,0,0
265,0,1
266,0,0
267,0,1
268,0,1
269,0,1
270,0,1
271,0,1
272,0,1
273,0,1
274,0,3
275,0,3
276,0,1
277,0,0
278,0,2
279,0,1
280,0,0
281,0,1
282,0,1
283,0,0
284,0,1
285,0,0
286,0,1
287,0,2
288,0,0
289,0,0
290,0,3
291,0,3
292,0,1
293,0,1
294,0,1
295,0,1
296,0,0
297,0,1
298,0,1
299,0,0
300,0,0
301,0,1
302,0,0
303,0,0
304,0,0
305,0,1
306,0,1
307,0,0
308,0,1
309,0,1
310,0,0
311,0,3
312,0,2
313,0,1
314,0,1
315,0,1
316,0,2
317,0,1
318,0,1
319,0,1
320,0,0
321,0,0
322,0,1
323,0,1
324,0,0
325,0,1
326,0,1
327,0,1
328,0,1
329,0,1
330,0,1
331,0,3
332,0,1
333,0,1
334,0,1
335,0,1
336,0,0
337,0,2
338,0,1
339,0,1
340,0,0
341,0,1
342,0,1
343,0,0
344,0,1
345,0,1
346,0,0
347,0,1
348,0,2
349,0,1
350,0,0
351,0,1
352,0,1
353,0,2
354,0,0
355,0,1
356,0,1
357,0,1
358,0,1
359,0,0
360,0,0
361,0,2
362,0,0
363,0,3
364,0,0
365,0,3
366,0,1
367,0,2
368,0,1
369,0,3
370,0,0
371,0,1
372,0,1
373,0,1
374,0,0
375,0,2
376,0,1
377,0,0
378,0,1
379,0,1
380,0,3
381,0,1
382,0,1
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,1
390,0,4
391,0,4
392,0,0
393,0,0
394,0,0
395,0,4
396,0,4
397,0,0
398,0,0
399,0,0
400,1,1
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,1,0
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,0
416,1,1
417,1,1
418,1,1
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,0
429,1,1
430,1,1
431,1,1
432,1,1
433,1,0
434,1,0
435,1,1
436,1,0
437,1,0
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,0
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,0
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,0
466,1,0
467,1,0
468,1,0
469,1,1
470,1,1
471,1,0
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,0
478,1,1
479,1,0
480,1,0
481,1,1
482,1,1
483,1,1
484,1,0
485,1,1
486,1,2
487,1,1
488,1,0
489,1,1
490,1,1
491,1,1
492,1,0
493,1,1
494,1,1
495,1,0
496,1,1
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
502,1,1
503,1,0
504,1,1
505,1,0
506,1,1
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,3
513,1,3
514,1,3
515,1,1
516,1,0
517,1,1
518,1,1
519,1,3
520,1,1
521,1,1
522,1,1
523,1,0
524,1,1
525,1,0
526,1,1
527,1,1
528,1,1
529,1,1
530,1,3
531,1,1
532,1,1
533,1,1
534,1,1
535,1,3
536,1,3
537,1,3
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,3
546,1,1
547,1,3
548,1,0
549,1,1
550,1,1
551,1,0
552,1,1
553,1,1
554,1,1
555,1,1
556,1,1
557,1,1
558,1,1
559,1,0
560,1,1
561,1,3
562,1,1
563,1,1
564,1,1
565,1,3
566,1,1
567,1,1
568,1,1
569,1,0
570,1,3
571,1,1
572,1,1
573,1,1
574,1,0
575,1,1
576,1,3
577,1,1
578,1,1
579,1,3
580,1,1
581,1,1
582,1,0
583,1,1
584,1,1
585,1,1
586,1,1
587,1,4
588,1,1
589,1,1
590,1,1
591,1,0
592,1,1
593,1,1
594,1,1
595,1,1
596,1,1
597,1,0
598,1,3
599,1,0
600,1,0
601,1,3
602,1,0
603,1,0
604,1,1
605,1,1
606,1,1
607,1,0
608,1,0
609,1,3
610,1,1
611,1,1
612,1,0
613,1,1
614,1,1
615,1,1
616,1,1
617,1,1
618,1,1
619,1,1
620,1,1
621,1,3
622,1,1
623,1,3
624,1,1
625,1,1
626,1,1
627,1,1
628,1,1
629,1,3
630,1,1
631,1,1
632,1,3
633,1,1
634,1,1
635,1,1
636,1,1
637,1,4
638,1,3
639,1,1
640,1,1
641,1,4
642,1,1
643,1,4
644,1,4
645,1,4
646,1,1
647,1,4
648,1,4
649,1,4
650,1,4
651,1,4
652,1,4
653,1,0
654,1,4
655,1,4
656,1,4
657,1,1
658,1,4
659,1,4
660,1,4
661,1,4
662,1,1
663,1,4
664,1,2
665,1,4
666,1,4
667,1,4
668,1,4
669,1,4
670,1,4
671,1,4
672,1,4
673,1,4
674,1,1
675,1,4
676,1,1
677,1,0
678,1,4
679,1,4
680,1,2
