,cluster_id,seqlength,zhu_cluster
172,0,60,1.0
173,0,53,1.0
174,0,50,1.0
175,0,55,1.0
176,0,59,1.0
177,0,48,1.0
178,0,50,1.0
179,0,51,1.0
180,0,59,1.0
181,0,49,1.0
182,0,42,1.0
183,0,46,1.0
184,0,48,1.0
185,0,59,1.0
186,0,50,1.0
187,0,53,1.0
188,0,52,1.0
189,0,56,1.0
190,0,67,1.0
191,0,60,1.0
192,0,57,1.0
193,0,54,1.0
194,0,54,1.0
195,0,74,1.0
196,0,46,1.0
197,0,45,1.0
198,0,62,1.0
199,0,58,1.0
200,0,51,1.0
201,0,71,1.0
202,0,51,1.0
203,0,45,1.0
204,0,43,1.0
205,0,51,1.0
206,0,47,1.0
207,0,58,1.0
208,0,49,1.0
209,0,56,1.0
210,0,57,1.0
211,0,49,1.0
212,0,33,1.0
213,0,59,1.0
214,0,46,1.0
215,0,41,1.0
216,0,48,1.0
217,0,45,1.0
218,0,53,1.0
219,0,48,1.0
220,0,65,1.0
221,0,47,1.0
222,0,63,1.0
223,0,48,1.0
224,0,51,1.0
225,0,60,1.0
226,0,56,1.0
227,0,53,1.0
228,0,46,1.0
229,0,35,1.0
230,0,46,1.0
231,0,50,1.0
232,0,50,1.0
233,0,50,1.0
234,0,60,1.0
235,0,54,1.0
236,0,50,1.0
237,0,39,1.0
238,0,55,1.0
239,0,52,1.0
240,0,62,1.0
241,0,65,1.0
242,0,60,1.0
243,0,54,1.0
244,0,51,1.0
245,0,57,1.0
246,0,51,1.0
247,0,55,1.0
248,0,57,1.0
249,0,60,1.0
250,0,52,1.0
251,0,43,1.0
252,0,51,1.0
253,0,50,1.0
254,0,56,1.0
255,0,62,1.0
256,0,56,1.0
257,0,44,1.0
258,0,52,1.0
259,0,47,1.0
260,0,51,1.0
261,0,71,1.0
262,0,52,1.0
263,0,50,1.0
264,0,46,1.0
265,0,58,1.0
266,0,59,1.0
267,0,65,1.0
268,0,54,1.0
269,0,52,1.0
270,0,55,1.0
271,0,50,1.0
272,0,54,1.0
273,0,57,1.0
274,0,62,1.0
275,0,48,1.0
276,0,48,1.0
277,0,51,1.0
278,0,53,1.0
279,0,49,1.0
280,0,54,1.0
281,0,55,1.0
282,0,56,1.0
283,0,63,1.0
284,0,54,1.0
285,0,42,1.0
286,0,48,1.0
287,0,48,1.0
288,0,42,1.0
289,0,57,1.0
290,0,54,1.0
291,0,66,1.0
292,0,60,1.0
293,0,71,1.0
294,0,50,1.0
295,0,49,1.0
296,0,60,1.0
297,0,44,1.0
298,0,41,1.0
299,0,45,1.0
300,0,57,1.0
301,0,66,1.0
302,0,61,1.0
303,0,50,1.0
304,0,60,1.0
305,0,55,1.0
306,0,55,1.0
307,0,48,1.0
308,0,61,1.0
309,0,53,1.0
310,0,58,1.0
311,0,49,1.0
312,0,47,1.0
313,0,60,1.0
314,0,51,1.0
315,0,43,1.0
316,0,46,1.0
317,0,62,1.0
318,0,48,1.0
319,0,51,1.0
320,0,51,1.0
321,0,55,1.0
322,0,61,1.0
323,0,58,1.0
324,0,48,1.0
325,0,43,1.0
326,0,47,1.0
327,0,54,1.0
328,0,57,1.0
329,0,50,1.0
330,0,38,1.0
