,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
60,0,7.5140199999999995,55,1,0,152.38261,11,150.78971,0,150.85923,-1,151.78115
61,0,7.5140199999999995,50,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
62,0,7.5140199999999995,58,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
63,0,7.5140199999999995,58,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
64,0,7.5140199999999995,48,1,0,152.38261,2,150.78971,0,150.85923,-1,151.78115
65,0,7.5140199999999995,53,1,0,152.38261,3,150.78971,0,150.85923,-1,151.78115
66,0,7.5140199999999995,54,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
67,0,7.5140199999999995,49,1,0,152.38261,2,150.78971,0,150.85923,-1,151.78115
68,0,7.5140199999999995,56,1,0,152.38261,0,150.78971,0,150.85923,-1,151.78115
69,0,7.5140199999999995,47,1,0,152.38261,10,150.78971,0,150.85923,-1,151.78115
70,0,7.5140199999999995,46,1,0,152.38261,4,150.78971,0,150.85923,-1,151.78115
71,0,7.5140199999999995,50,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
72,0,7.5140199999999995,52,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
73,0,7.5140199999999995,63,1,0,152.38261,12,150.78971,0,150.85923,-1,151.78115
74,0,7.5140199999999995,49,1,0,152.38261,4,150.78971,0,150.85923,-1,151.78115
75,0,7.5140199999999995,65,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
76,0,7.5140199999999995,61,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
77,0,7.5140199999999995,46,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
78,0,7.5140199999999995,47,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
79,0,7.5140199999999995,62,1,0,152.38261,11,150.78971,0,150.85923,-1,151.78115
80,0,7.5140199999999995,40,1,0,152.38261,14,150.78971,0,150.85923,-1,151.78115
81,0,7.5140199999999995,52,1,0,152.38261,5,150.78971,0,150.85923,-1,151.78115
82,0,7.5140199999999995,46,1,0,152.38261,2,150.78971,0,150.85923,-1,151.78115
83,0,7.5140199999999995,44,1,0,152.38261,14,150.78971,0,150.85923,-1,151.78115
84,0,7.5140199999999995,58,1,0,152.38261,9,150.78971,0,150.85923,-1,151.78115
85,0,7.5140199999999995,50,1,0,152.38261,18,150.78971,0,150.85923,-1,151.78115
86,0,7.5140199999999995,47,1,0,152.38261,2,150.78971,0,150.85923,-1,151.78115
87,0,7.5140199999999995,48,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
88,0,7.5140199999999995,56,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
89,0,7.5140199999999995,56,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
90,0,7.5140199999999995,54,1,0,152.38261,5,150.78971,0,150.85923,-1,151.78115
91,0,7.5140199999999995,45,1,0,152.38261,10,150.78971,0,150.85923,-1,151.78115
92,0,7.5140199999999995,46,1,0,152.38261,12,150.78971,0,150.85923,-1,151.78115
93,0,7.5140199999999995,55,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
94,0,7.5140199999999995,56,1,0,152.38261,15,150.78971,0,150.85923,-1,151.78115
95,0,7.5140199999999995,61,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
96,0,7.5140199999999995,59,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
97,0,7.5140199999999995,47,1,0,152.38261,0,150.78971,0,150.85923,-1,151.78115
98,0,7.5140199999999995,52,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
99,0,7.5140199999999995,63,1,0,152.38261,9,150.78971,0,150.85923,-1,151.78115
100,0,7.5140199999999995,48,1,0,152.38261,16,150.78971,0,150.85923,-1,151.78115
101,0,7.5140199999999995,53,1,0,152.38261,12,150.78971,0,150.85923,-1,151.78115
102,0,7.5140199999999995,57,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
103,0,7.5140199999999995,53,1,0,152.38261,0,150.78971,0,150.85923,-1,151.78115
104,0,7.5140199999999995,48,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
105,0,7.5140199999999995,55,1,0,152.38261,3,150.78971,0,150.85923,-1,151.78115
106,0,7.5140199999999995,57,1,0,152.38261,2,150.78971,0,150.85923,-1,151.78115
107,0,7.5140199999999995,54,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
108,0,7.5140199999999995,53,1,0,152.38261,9,150.78971,0,150.85923,-1,151.78115
109,0,7.5140199999999995,49,1,0,152.38261,5,150.78971,0,150.85923,-1,151.78115
110,0,7.5140199999999995,48,1,0,152.38261,11,150.78971,0,150.85923,-1,151.78115
111,0,7.5140199999999995,46,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
112,0,7.5140199999999995,58,1,0,152.38261,3,150.78971,0,150.85923,-1,151.78115
113,0,7.5140199999999995,58,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
114,0,7.5140199999999995,53,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
115,0,7.5140199999999995,48,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
116,0,7.5140199999999995,56,1,0,152.38261,14,150.78971,0,150.85923,-1,151.78115
117,0,7.5140199999999995,42,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
118,0,7.5140199999999995,63,1,0,152.38261,2,150.78971,0,150.85923,-1,151.78115
119,0,7.5140199999999995,48,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
120,0,7.5140199999999995,60,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
121,0,7.5140199999999995,59,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
122,0,7.5140199999999995,59,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
123,0,7.5140199999999995,53,1,0,152.38261,12,150.78971,0,150.85923,-1,151.78115
124,0,7.5140199999999995,57,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
125,0,7.5140199999999995,53,1,0,152.38261,0,150.78971,0,150.85923,-1,151.78115
126,0,7.5140199999999995,50,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
127,0,7.5140199999999995,44,1,0,152.38261,8,150.78971,0,150.85923,-1,151.78115
128,0,7.5140199999999995,59,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
129,0,7.5140199999999995,50,1,0,152.38261,10,150.78971,0,150.85923,-1,151.78115
130,0,7.5140199999999995,47,1,0,152.38261,14,150.78971,0,150.85923,-1,151.78115
131,0,7.5140199999999995,44,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
132,0,7.5140199999999995,56,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
133,0,7.5140199999999995,53,1,0,152.38261,4,150.78971,0,150.85923,-1,151.78115
134,0,7.5140199999999995,42,1,0,152.38261,12,150.78971,0,150.85923,-1,151.78115
135,0,7.5140199999999995,45,1,0,152.38261,15,150.78971,0,150.85923,-1,151.78115
136,0,7.5140199999999995,46,1,0,152.38261,12,150.78971,0,150.85923,-1,151.78115
137,0,7.5140199999999995,52,1,0,152.38261,18,150.78971,0,150.85923,-1,151.78115
138,0,7.5140199999999995,54,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
139,0,7.5140199999999995,38,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
140,0,7.5140199999999995,58,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
141,0,7.5140199999999995,57,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
142,0,7.5140199999999995,57,1,0,152.38261,9,150.78971,0,150.85923,-1,151.78115
143,0,7.5140199999999995,56,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
144,0,7.5140199999999995,44,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
145,0,7.5140199999999995,65,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
146,0,7.5140199999999995,66,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
147,0,7.5140199999999995,61,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
148,0,7.5140199999999995,57,1,0,152.38261,20,150.78971,0,150.85923,-1,151.78115
149,0,7.5140199999999995,51,1,0,152.38261,8,150.78971,0,150.85923,-1,151.78115
150,0,7.5140199999999995,61,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
151,0,7.5140199999999995,42,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
152,0,7.5140199999999995,51,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
153,0,7.5140199999999995,55,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
154,0,7.5140199999999995,42,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
155,0,7.5140199999999995,50,1,0,152.38261,16,150.78971,0,150.85923,-1,151.78115
156,0,7.5140199999999995,49,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
157,0,7.5140199999999995,52,1,0,152.38261,0,150.78971,0,150.85923,-1,151.78115
158,0,7.5140199999999995,65,1,0,152.38261,3,150.78971,0,150.85923,-1,151.78115
159,0,7.5140199999999995,50,1,0,152.38261,11,150.78971,0,150.85923,-1,151.78115
160,0,7.5140199999999995,46,1,0,152.38261,14,150.78971,0,150.85923,-1,151.78115
